1	1.565918257
2	0.822649071
3	-1.571204453
4	0.477695589
5	0.857693061
6	0.241820932
7	0.962291066
8	-1.339556614
9	-0.338870395
10	-0.151753474
11	-1.38455459
12	-3.471712681
13	-0.587512546
14	-0.751319443
15	0.437288078
16	1.20530198
17	-0.18408617
18	0.752543319
19	-0.218208404
20	1.158513931
21	-1.701468286
22	-0.647105405
23	1.270892722
24	3.03300838
25	-1.230145248
26	-1.218402193
27	0.555366454
28	0.464543319
29	-1.850494273
30	0.065875197
31	-0.668854517
32	-0.045995607
33	0.065350263
34	1.032104857
35	-1.567235035
36	-0.55244893
37	1.58920723
38	-1.946995982
39	0.394884714
40	1.531564733
41	-0.398621344
42	0.20665664
43	0.18465776
44	-0.225894389
45	-1.797700124
46	-0.088524583
47	-0.935951806
48	2.659518943
49	0.229556877
50	1.49986171
